,datetime_from,price,price1,price2,price3
0,2023-07-28 00:00:00,107.99,98.83,95.05,107.123
1,2023-07-28 01:00:00,106.04,95.19,93.7,104.801
2,2023-07-28 02:00:00,106.1,97.0,87.98,102.977
3,2023-07-28 03:00:00,105.0,100.36,89.45,109.143
4,2023-07-28 04:00:00,102.22,109.23,101.46,116.56
5,2023-07-28 05:00:00,111.15,113.3,108.46,117.087
6,2023-07-28 06:00:00,112.99,109.56,111.23,114.862
7,2023-07-28 07:00:00,107.87,102.58,107.51,110.493
8,2023-07-28 08:00:00,99.89,94.22,101.52,107.26
9,2023-07-28 09:00:00,101.11,91.82,95.62,105.163
10,2023-07-28 10:00:00,94.31,90.46,90.02,103.053
11,2023-07-28 11:00:00,91.46,87.1,91.03,97.399
12,2023-07-28 12:00:00,101.05,86.18,96.85,98.55
13,2023-07-28 13:00:00,102.35,91.32,103.13,102.232
14,2023-07-28 14:00:00,104.08,98.99,106.14,106.706
15,2023-07-28 15:00:00,105.0,109.35,135.93,129.483
16,2023-07-28 16:00:00,111.93,136.35,151.96,144.628
17,2023-07-28 17:00:00,185.26,147.98,159.85,165.411
18,2023-07-28 18:00:00,206.52,152.94,180.88,167.513
19,2023-07-28 19:00:00,164.62,141.58,140.21,151.801
20,2023-07-28 20:00:00,119.09,129.12,113.44,134.357
21,2023-07-28 21:00:00,105.0,118.01,106.66,131.762
22,2023-07-28 22:00:00,103.09,119.19,110.0,115.641
23,2023-07-28 23:00:00,101.19,117.85,114.86,107.778
24,2023-07-29 00:00:00,95.87,111.12,105.78,100.264
25,2023-07-29 01:00:00,96.74,107.71,107.29,97.802
26,2023-07-29 02:00:00,97.48,106.62,99.61,97.602
27,2023-07-29 03:00:00,95.67,103.04,94.99,97.417
28,2023-07-29 04:00:00,85.7,104.85,94.18,97.493
29,2023-07-29 05:00:00,87.91,104.31,97.89,96.959
30,2023-07-29 06:00:00,85.79,101.03,93.44,94.466
31,2023-07-29 07:00:00,85.0,91.29,79.25,91.684
32,2023-07-29 08:00:00,75.5,83.18,80.43,88.293
33,2023-07-29 09:00:00,82.5,80.39,81.57,84.232
34,2023-07-29 10:00:00,79.81,79.23,80.94,77.452
35,2023-07-29 11:00:00,70.0,76.24,87.4,73.518
36,2023-07-29 12:00:00,71.33,75.94,94.72,73.66
37,2023-07-29 13:00:00,81.9,84.0,96.78,79.073
38,2023-07-29 14:00:00,84.1,95.23,101.42,88.488
39,2023-07-29 15:00:00,91.89,110.88,128.09,107.89
40,2023-07-29 16:00:00,105.2,135.25,152.07,127.026
41,2023-07-29 17:00:00,123.24,150.72,174.79,143.093
42,2023-07-29 18:00:00,144.63,157.47,204.87,155.763
43,2023-07-29 19:00:00,144.35,149.64,174.97,139.426
44,2023-07-29 20:00:00,115.0,136.3,135.78,120.841
45,2023-07-29 21:00:00,105.0,126.3,123.69,119.775
46,2023-07-29 22:00:00,99.66,118.6,107.32,106.944
47,2023-07-29 23:00:00,96.2,117.89,111.15,103.321
48,2023-07-30 00:00:00,96.25,109.59,97.59,95.697
49,2023-07-30 01:00:00,95.43,105.26,96.03,95.799
50,2023-07-30 02:00:00,94.27,103.91,94.92,95.233
51,2023-07-30 03:00:00,92.26,100.02,89.0,92.315
52,2023-07-30 04:00:00,87.46,94.34,86.27,91.343
53,2023-07-30 05:00:00,90.05,88.36,89.76,86.367
54,2023-07-30 06:00:00,86.78,78.26,84.24,81.043
55,2023-07-30 07:00:00,80.1,67.13,69.68,76.772
56,2023-07-30 08:00:00,74.39,59.51,70.21,70.552
57,2023-07-30 09:00:00,50.0,57.5,69.24,57.562
58,2023-07-30 10:00:00,40.0,57.19,69.57,48.985
