"datetime_from","value"
"2024-07-12 10:00:00.000 +0200",96.3
"2024-07-12 09:00:00.000 +0200",103.32
"2024-07-12 08:00:00.000 +0200",121.38
"2024-07-12 07:00:00.000 +0200",127.45
"2024-07-12 06:00:00.000 +0200",119.2
"2024-07-12 05:00:00.000 +0200",107.72
"2024-07-12 04:00:00.000 +0200",102.64
"2024-07-12 03:00:00.000 +0200",101.58
"2024-07-12 02:00:00.000 +0200",101.75
"2024-07-12 01:00:00.000 +0200",107.92
"2024-07-12 00:00:00.000 +0200",114.07
"2024-07-11 23:00:00.000 +0200",125.41
"2024-07-11 22:00:00.000 +0200",141.45
"2024-07-11 21:00:00.000 +0200",181.86
"2024-07-11 20:00:00.000 +0200",225.06
"2024-07-11 19:00:00.000 +0200",177.89
"2024-07-11 18:00:00.000 +0200",144.59
"2024-07-11 17:00:00.000 +0200",134.87
"2024-07-11 16:00:00.000 +0200",125.73
"2024-07-11 15:00:00.000 +0200",112.42
"2024-07-11 14:00:00.000 +0200",92.41
"2024-07-11 13:00:00.000 +0200",87.87
"2024-07-11 12:00:00.000 +0200",85.32
"2024-07-11 11:00:00.000 +0200",87.63
"2024-07-11 10:00:00.000 +0200",92.4
"2024-07-11 09:00:00.000 +0200",99.17
"2024-07-11 08:00:00.000 +0200",117.36
"2024-07-11 07:00:00.000 +0200",124.94
"2024-07-11 06:00:00.000 +0200",118.41
"2024-07-11 05:00:00.000 +0200",106.46
"2024-07-11 04:00:00.000 +0200",101.59
"2024-07-11 03:00:00.000 +0200",100.46
"2024-07-11 02:00:00.000 +0200",100.1
"2024-07-11 01:00:00.000 +0200",106.56
"2024-07-11 00:00:00.000 +0200",112.66
"2024-07-10 23:00:00.000 +0200",123.48
"2024-07-10 22:00:00.000 +0200",139.53
"2024-07-10 21:00:00.000 +0200",179.76
"2024-07-10 20:00:00.000 +0200",222.73
"2024-07-10 19:00:00.000 +0200",175.5
"2024-07-10 18:00:00.000 +0200",141.85
"2024-07-10 17:00:00.000 +0200",129.62
"2024-07-10 16:00:00.000 +0200",119.96
"2024-07-10 15:00:00.000 +0200",109.71
"2024-07-10 14:00:00.000 +0200",89.19
"2024-07-10 13:00:00.000 +0200",85.86
"2024-07-10 12:00:00.000 +0200",81.09
"2024-07-10 11:00:00.000 +0200",80.97
"2024-07-10 10:00:00.000 +0200",84.82
"2024-07-10 09:00:00.000 +0200",93.7
"2024-07-10 08:00:00.000 +0200",114.26
"2024-07-10 07:00:00.000 +0200",121.83
"2024-07-10 06:00:00.000 +0200",115.01
"2024-07-10 05:00:00.000 +0200",100.5
"2024-07-10 04:00:00.000 +0200",95.73
"2024-07-10 03:00:00.000 +0200",96.34
"2024-07-10 02:00:00.000 +0200",97.93
"2024-07-10 01:00:00.000 +0200",104.96
"2024-07-10 00:00:00.000 +0200",111.23
"2024-07-09 23:00:00.000 +0200",123.29
"2024-07-09 22:00:00.000 +0200",139.23
"2024-07-09 21:00:00.000 +0200",179.75
"2024-07-09 20:00:00.000 +0200",222.43
"2024-07-09 19:00:00.000 +0200",175.65
"2024-07-09 18:00:00.000 +0200",142.15
"2024-07-09 17:00:00.000 +0200",130.19
"2024-07-09 16:00:00.000 +0200",120.31
"2024-07-09 15:00:00.000 +0200",107.41
"2024-07-09 14:00:00.000 +0200",86.9
"2024-07-09 13:00:00.000 +0200",82.81
"2024-07-09 12:00:00.000 +0200",78.54
"2024-07-09 11:00:00.000 +0200",79.78
"2024-07-09 10:00:00.000 +0200",84.53
"2024-07-09 09:00:00.000 +0200",93.61
"2024-07-09 08:00:00.000 +0200",114.47
"2024-07-09 07:00:00.000 +0200",122.98
"2024-07-09 06:00:00.000 +0200",113.87
"2024-07-09 05:00:00.000 +0200",100.49
"2024-07-09 04:00:00.000 +0200",95.78
"2024-07-09 03:00:00.000 +0200",96.05
"2024-07-09 02:00:00.000 +0200",97.36
"2024-07-09 01:00:00.000 +0200",104.2
"2024-07-09 00:00:00.000 +0200",110.24
"2024-07-08 23:00:00.000 +0200",125.35
"2024-07-08 22:00:00.000 +0200",141.37
"2024-07-08 21:00:00.000 +0200",181.52
"2024-07-08 20:00:00.000 +0200",224.44
"2024-07-08 19:00:00.000 +0200",177.59
"2024-07-08 18:00:00.000 +0200",143.02
"2024-07-08 17:00:00.000 +0200",130.83
"2024-07-08 16:00:00.000 +0200",120.17
"2024-07-08 15:00:00.000 +0200",107.2
"2024-07-08 14:00:00.000 +0200",89.44
"2024-07-08 13:00:00.000 +0200",86.18
"2024-07-08 12:00:00.000 +0200",83.25
"2024-07-08 11:00:00.000 +0200",84.27
"2024-07-08 10:00:00.000 +0200",88.12
"2024-07-08 09:00:00.000 +0200",93.87
"2024-07-08 08:00:00.000 +0200",113.83
"2024-07-08 07:00:00.000 +0200",120.65
